table,roll_min,roll_max,plate,chain,rigid_leather,soft_leather,none,note
AT-7,126,130,14C,16D,17D,24E,28E,maximum ice bolts
AT-7,131,135,15C,17D,18E,26E,30E,
AT-7,136,140,16D,18D,19E,28E,32E,
AT-7,141,145,17D,20E,20E,30E,34E,
AT-7,146,150,18E,22E,22E,31E,36E,maximum fire and lightning bolts
AT-8,1,4,F,F,F,F,F,spell failure roll
AT-8,5,8,F,F,F,F,F,spell failure roll
AT-8,9,12,0,0,0,0,1,
AT-8,13,16,0,0,0,0,2,
AT-8,17,20,1,0,0,0,3,
AT-8,21,24,2,1,0,0,4,
AT-8,25,28,3,2,0,0,5A,
AT-8,29,32,4,3,2,0,6A,
AT-8,33,36,5A,4,3,1,7A,
AT-8,37,40,6A,5A,4,2,8A,
AT-8,41,44,7A,6A,5A,3,9A,
AT-8,45,48,8A,7A,6A,4,10B,
AT-8,49,52,9A,8A,7A,5,11B,
AT-8,53,56,10B,9A,8A,6A,12B,
AT-8,57,60,11B,10B,9A,7A,13B,
AT-8,61,64,12B,11B,10B,8A,14B,
AT-8,65,68,12B,11B,10B,9A,15C,
AT-8,69,72,13B,12B,11B,10A,16C,
AT-8,73,76,13C,12B,11B,10A,17C,
AT-8,77,80,14C,13C,12B,11B,18C,
AT-8,81,84,14C,13C,12C,11B,19C,
AT-8,85,88,15C,14C,13C,12B,20C,
AT-8,89,92,15C,14C,13C,12B,21C,
AT-8,93,96,16C,15C,14C,13C,22C,
AT-8,97,99,19D,18D,17D,16D,28D,open-ended-up result excluded from fitting
AT-8,100,100,22E,21E,20E,19E,34E,open-ended-up result excluded from fitting
